,date,open
331,2014-06-04,37.06
332,2014-06-05,37.18
333,2014-06-06,37.53
334,2014-06-09,37.69
335,2014-06-10,37.625
336,2014-06-11,37.07
337,2014-06-12,37.345
338,2014-06-13,36.935
339,2014-06-16,37.24
340,2014-06-17,37.515
341,2014-06-18,37.6
342,2014-06-19,38.275
343,2014-06-20,38.815
344,2014-06-23,38.345
345,2014-06-24,38.45
346,2014-06-25,38.52
347,2014-06-26,39.005
348,2014-06-27,38.98
349,2014-06-30,39.05
350,2014-07-01,38.945
351,2014-07-02,39.19
352,2014-07-03,39.195
353,2014-07-07,39.39
354,2014-07-08,39.32
355,2014-07-09,39.27
356,2014-07-10,39.305
357,2014-07-11,39.48
358,2014-07-14,39.49
359,2014-07-15,39.325
360,2014-07-16,39.53
361,2014-07-17,39.06
362,2014-07-18,38.85
363,2014-07-21,38.93
364,2014-07-22,39.165
365,2014-07-23,39.255
366,2014-07-24,39.795
367,2014-07-25,39.2
368,2014-07-28,39.4
369,2014-07-29,39.245
370,2014-07-30,39.5
371,2014-07-31,39.26
372,2014-08-01,38.75
373,2014-08-04,38.63
374,2014-08-05,38.585
375,2014-08-06,38.25
376,2014-08-07,38.665
377,2014-08-08,38.315
378,2014-08-11,38.835
379,2014-08-12,38.935
380,2014-08-13,39.05
381,2014-08-14,38.74
382,2014-08-15,38.61
383,2014-08-18,38.595
384,2014-08-19,38.9
385,2014-08-20,39.005
386,2014-08-21,38.905
387,2014-08-22,38.62
388,2014-08-25,38.82
389,2014-08-26,39.005
390,2014-08-27,38.955
391,2014-08-28,38.895
392,2014-08-29,39.035
393,2014-09-02,38.85
394,2014-09-03,38.78
395,2014-09-04,38.4
396,2014-09-05,38.505
397,2014-09-08,38.88
398,2014-09-09,38.725
399,2014-09-10,38.505
400,2014-09-11,38.49
401,2014-09-12,37.915
402,2014-09-15,37.63
403,2014-09-16,37.42
404,2014-09-17,37.67
405,2014-09-18,37.795
406,2014-09-19,37.985
407,2014-09-22,38.025
408,2014-09-23,37.145
409,2014-09-24,37.265
410,2014-09-25,37.59
411,2014-09-26,37.0
412,2014-09-29,37.275
413,2014-09-30,37.78
414,2014-10-01,37.84
415,2014-10-02,37.205
416,2014-10-03,37.4
417,2014-10-06,38.01
418,2014-10-07,37.45
419,2014-10-08,37.12
420,2014-10-09,37.52
421,2014-10-10,37.13
422,2014-10-13,37.105
423,2014-10-14,36.205
424,2014-10-15,36.015
